id,title,filtered_words,label
R129,New Report on Election,"['stuff', 'even', 'practice', 'price', 'accept', 'hard.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['economy', 'nature', 'yard', 'national', 'give', 'people', 'agent.', 'sense', 'thank', 'difference', 'pass', 'upon.', 'produce', 'alone', 'realize', 'claim', 'special', 'adult', 'present.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['situation', 'plan', 'store', 'huge', 'economic.', 'money', 'job', 'author', 'leader', 'public', 'course', 'risk', 'let.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['actually', 'avoid', 'message.', 'song', 'late', 'citizen', 'leg', 'offer', 'film.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['movement', 'evidence', 'treat', 'mean', 'task.', 'shoulder', 'sea', 'free', 'difference', 'law', 'boy', 'prepare.', 'family', 'number', 'answer', 'resource', 'perform.', 'technology', 'piece', 'away', 'live', 'general', 'stage', 'small.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['according', 'future', 'opportunity.', 'artist', 'enter', 'treat', 'set', 'ever.', 'example', 'key', 'congress', 'give', 'agree', 'scene', 'parent.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['three', 'next', 'back.', 'threat', 'technology', 'stay', 'machine', 'drug', 'apply', 'candidate', 'model.', 'improve', 'consumer', 'world', 'red', 'opportunity', 'meeting.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['country', 'network', 'special', 'who.', 'carry', 'use', 'number', 'husband', 'range', 'high', 'around.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['theory', 'full', 'trial', 'receive', 'speech', 'much.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['mention', 'make', 'exist', 'success.', 'spend', 'play', 'nature', 'subject', 'season.', 'single', 'often', 'art.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
R170,New Report on Technology Breakthrough,"['military', 'fire', 'past', 'someone', 'area', 'media.', 'run', 'sport', 'protect.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
F110,Celebrity Scandal Confirmed by Sources,"['business', 'matter', 'fire', 'final', 'reason.', 'coach', 'film', 'real', 'successful', 'head', 'environment.', 'wrong', 'personal', 'office', 'everyone', 'herself.', 'pressure', 'simple', 'administration.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
F048,Secret Cure Confirmed by Sources,"['number', 'design', 'computer', 'serious.', 'quite', 'morning', 'pm.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F082,Hoax Confirmed by Sources,"['imagine', 'top', 'eye', 'case', 'plant', 'though', 'market.', 'successful', 'issue', 'art', 'report.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F187,Miracle Drug Confirmed by Sources,"['action', 'tough', 'away', 'partner', 'fill', 'thank', 'continue.', 'tend', 'forget', 'child', 'bill.', 'remember', 'money', 'attack', 'share', 'listen', 'individual', 'kind.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F027,Miracle Drug Confirmed by Sources,"['offer', 'thing', 'interesting', 'month.', 'effort', 'allow', 'society', 'cup', 'best.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F202,Hoax Confirmed by Sources,"['us', 'go', 'claim', 'maybe', 'big', 'board.', 'exactly', 'body', 'ever', 'do.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F197,Secret Cure Confirmed by Sources,"['south', 'option', 'participant', 'kid.', 'live', 'manage', 'shake', 'oil', 'certainly', 'respond.', 'spring', 'line', 'card', 'another', 'firm.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R128,New Report on Climate Change,"['stuff', 'ability', 'whole', 'claim', 'relate.', 'ball', 'sport', 'tell', 'might.', 'event', 'onto', 'question', 'finally', 'education', 'politics', 'south.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F157,Government Cover-Up Confirmed by Sources,"['animal.', 'rock', 'quite', 'member', 'respond.', 'college', 'amount', 'per', 'however', 'cut', 'approach.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F117,Hoax Confirmed by Sources,"['race', 'network', 'present', 'hair.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F173,Secret Cure Confirmed by Sources,"['dinner', 'change', 'next', 'senior', 'tv.', 'single', 'ever', 'act', 'still', 'organization.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F024,Aliens Confirmed by Sources,"['center', 'seem', 'value', 'social', 'concern', 'property', 'behind.', 'window', 'must', 'religious', 'toward', 'ten', 'information', 'edge', 'gas.', 'foreign', 'safe', 'appear', 'fast', 'rate', 'consider', 'population.', 'student', 'air', 'around', 'time', 'attorney', 'company.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
